                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.30308,                0.24721,                0.91262,                0.96371,                0.96667,                0.98634,                0.90967,                0.37981,                 0.2552,                0.94818,               0.000515,               0.000515,               0.000515
                     77,                0.31637,                0.25894,                0.91441,                0.95566,                0.96667,                0.98568,                0.89808,                0.41383,                0.27073,                0.96275,              0.0004952,              0.0004952,              0.0004952
                     78,                0.30777,                0.24772,                0.90569,                      1,                 0.9535,                0.98834,                0.89462,                0.42644,                0.26505,                0.95479,              0.0004754,              0.0004754,              0.0004754
                     79,                 0.2928,                0.24374,                0.90348,                0.96857,                0.96667,                0.98473,                 0.8934,                0.40224,                0.24535,                0.95072,              0.0004556,              0.0004556,              0.0004556
                     80,                0.31267,                 0.2585,                0.91323,                0.97511,                0.97778,                0.98588,                0.90472,                0.39662,                0.24215,                0.96428,              0.0004358,              0.0004358,              0.0004358
                     81,                0.29728,                0.24266,                0.90984,                0.96439,                0.97778,                0.98573,                0.89716,                 0.4067,                0.24076,                0.96446,               0.000416,               0.000416,               0.000416
                     82,                0.28641,                0.23531,                0.90578,                0.98871,                0.97289,                0.99025,                0.90971,                0.38515,                0.24082,                0.93913,              0.0003962,              0.0003962,              0.0003962
                     83,                0.29471,                0.24321,                 0.9037,                0.98526,                0.97778,                0.98789,                0.91821,                0.40129,                0.24137,                 0.9531,              0.0003764,              0.0003764,              0.0003764
                     84,                0.29411,                0.24375,                0.90284,                0.96576,                0.97778,                0.98679,                0.90645,                0.41128,                0.25275,                0.95827,              0.0003566,              0.0003566,              0.0003566
                     85,                0.28933,                0.23716,                 0.9006,                0.98805,                0.97778,                0.98684,                0.90938,                0.40499,                0.25494,                0.95466,              0.0003368,              0.0003368,              0.0003368
                     86,                0.28745,                0.24066,                 0.9057,                0.98762,                0.97778,                0.99166,                 0.9192,                0.38774,                0.24453,                0.94663,               0.000317,               0.000317,               0.000317
                     87,                0.28804,                0.24124,                0.90217,                0.98714,                0.97778,                0.99293,                0.91251,                0.41524,                  0.251,                0.95455,              0.0002972,              0.0002972,              0.0002972
                     88,                0.28169,                0.23401,                0.89338,                0.98616,                0.97778,                0.99205,                0.91771,                0.40769,                0.23811,                0.95495,              0.0002774,              0.0002774,              0.0002774
                     89,                0.26993,                0.22494,                0.90162,                0.98155,                0.97778,                0.99256,                0.91035,                0.40259,                0.24366,                0.95585,              0.0002576,              0.0002576,              0.0002576
                     90,                0.26592,                0.22539,                0.90108,                0.97796,                0.98617,                0.99371,                0.91545,                 0.3992,                0.23883,                0.94883,              0.0002378,              0.0002378,              0.0002378
                     91,                0.24579,                0.21666,                0.89826,                0.97821,                0.99741,                0.99435,                0.90988,                0.41974,                0.24066,                0.96126,               0.000218,               0.000218,               0.000218
                     92,                0.24514,                 0.1905,                0.88778,                0.99444,                0.97778,                 0.9843,                0.90833,                0.37937,                0.24745,                0.94485,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.2351,                0.18384,                0.88593,                0.99387,                0.97778,                0.98972,                0.91308,                0.38532,                0.24587,                0.94181,              0.0001784,              0.0001784,              0.0001784
                     94,                0.22486,                0.17383,                0.87245,                0.99104,                0.97778,                 0.9915,                 0.9135,                0.39577,                 0.2491,                0.94991,              0.0001586,              0.0001586,              0.0001586
                     95,                0.22378,                0.17992,                0.87736,                0.98875,                0.97689,                0.99168,                0.91565,                0.40037,                0.24524,                0.95666,              0.0001388,              0.0001388,              0.0001388
                     96,                0.21433,                0.16793,                0.87266,                0.98707,                0.97778,                0.99224,                0.91133,                0.40331,                0.23386,                0.95966,               0.000119,               0.000119,               0.000119
                     97,                0.21464,                0.16649,                0.86888,                0.97596,                0.97778,                0.99201,                0.91912,                0.39006,                0.23409,                 0.9532,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.20571,                0.16037,                 0.8715,                0.97625,                0.97778,                0.99214,                0.91859,                0.39079,                0.23109,                0.95064,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.21337,                0.16556,                0.86222,                0.98701,                0.97778,                 0.9925,                0.92359,                0.39111,                0.22914,                 0.9558,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.21072,                0.16129,                 0.8679,                0.98738,                0.97778,                0.99242,                0.92302,                0.38678,                 0.2309,                0.95158,               3.98e-05,               3.98e-05,               3.98e-05
